sentence_index	sentence
1339	/Pisał , żeby jej powiedzieć , /że ciągle ją kocha . /I że chciałby się z nią zobaczyć .
1340	/Więc napisał list pożegnalny , /spakował manatki i razem z Fin'em ruszył do Atlanty . Noah !
1341	Zgodnie z Konstytucją , walczyć przeciwko zewnętrznemu i wewnętrznemu wrogowi . /Noah i Fin służyli razem , /i po 2 latach ścigania Rommla w Afryce Płn. ,
1342	Czy zaprzeczam samemu sobie ? Dobrze więc , jestem w sprzeczności z sobą .
1343	/Allie studiowała na trzecim roku , /kiedy zgłosiła się na ochotnika , jako pomoc pielęgniarska .
1344	/Dla niej wszyscy mężczyźni /okaleczeni przez wojnę , byli jak Noah . /Czy był ktoś przy nim w dżungli /albo w krainie mrozu ? Podniosę cię .
1345	– O , rany , on jest naprawdę ... - Gapi się na ciebie .
1346	Jestem bogaty , jestem z Południa , mam uczciwą pracę , świetnie tańczę , bystry ze mnie gość ...
1347	Jak za mnie wyjdziesz , skończy się twoja życiowa wojna z nimi .
1348	Allie , do diabła , uważam , że musisz za mnie wyjść , że potrzebujesz za mnie wyjść .
1349	Bo jak to zrobisz , twoi rodzice będą widzieli , jak jesteś nieszczęśliwa , nie mogąc ich rozczarować .
1350	/Po tym , jak zobaczył Allie tego dnia , /coś w nim pękło .
1351	/Wbił sobie do głowy , że jeśli odbuduje dom , /do którego przyjechali tamtej nocy ,
1352	/Kiedy w listopadzie zmarł ojciec Noah ' a , /dom był wszystkim , co mu pozostało .
1353	/Mężczyźnie , który zaoferował o 5 tys. więcej , /niż wynosiła cena , powiedział ,
1354	/Swoje życiowe frustracje , /wyładowywał każdego poranka na rzece . /A wieczorem , w porze samotności , /pojawiała się Martha .
1355	Kobieta wie , kiedy mężczyzna patrzy jej w oczy i widzi kogoś innego ...
1356	Widziałaś poranną gazetę ? Mówi się , że twój ślub będzie towarzyskim wydarzeniem sezonu .
1357	Zobaczyłam twoje zdjęcie w gazecie , to z tobą na tle domu ...
1358	Widzę , że miał pan dwa zawały w ciągu ostatnich 18-tu miesięcy .
1359	Tak właśnie mi mówią . - Nie chcę , żeby rozbudzał pan w sobie nadzieję . Nauka dociera tylko do pewnego punktu .
1360	/Twój oddech opływa mnie jak chłodzące tchnienie /twój puls uspokaja moje uszy ;
1361	Po raz pierwszy , odkąd straciłam Richard ' a , poczułam , że też mam na co czekać .
1362	Obawiam się , że ojciec powiedział coś o Noah ' u i Lon zdecydował się przyjechać .
1363	I nie chcę , żebyś obudziła się pewnego ranka ze świadomością , że gdybyś wiedziała o wszystkim , mogłabyś podjąć inną decyzję .
1364	Teraz wygląda tak sobie , ale 25 lat temu ... Zakochaliśmy się w sobie .
1365	- Wiec kochasz się ze mną , a potem wracasz do męża ?
1366	Już raz cię straciłem , dam sobie radę jeszcze raz ! Jeśli tego naprawdę pragniesz . - Ale nie idź na łatwiznę !
1367	Przestań myśleć , czego ja chcę , czego on chce , czego chcą twoi rodzice !
1368	/Nie mogłem zasnąć ostatniej nocy , /bo wiedziałem , że miedzy nami koniec .
1369	/Nie czuje się zgorzkniały , /bo wiem , że nasze uczucie było prawdziwe . /I jeśli kiedyś się spotkamy , /w nowym życiu ,
1370	/uśmiechnę się do ciebie z radością , /pamiętając jak spędziliśmy lato pod drzewami .
1371	Nie wiem , ale sprowadza na mnie jakiś smutek . Wiem , że teraz czujesz się zagubiona .
1372	/Nic nie jest utracone na zawsze , /albo nie może być utracone ,
1373	Po prostu , kiedy jestem z Noah'em , czuję się jak jedna osoba .
1374	Ale chcę cię całej dla siebie . Nie chce przekonywać swojej narzeczonej , że powinna ze mną zostać . Nie musisz .
1375	Panie Calhoun , przykro mi , ale nie może jej pan dziś zobaczyć . Musi pan wrócić do swojego pokoju .
1376	Chodzi tylko o to , że mija kolejny rok , a ja wciąż tkwię w tym samym miejscu . `` Stań tu , stań tam ! ''
1377	365 dni w roku , włącznie z Bożym Narodzeniem , Chanuką , Halloween i Kwanzą .
1378	Co za żenada ! Dla mnie i dla was . Co ty gadasz ?
1379	O rany , Marty , powiedz i już . Co nam się może przydarzyć ?
1380	Wyobraź sobie jak by to było na łonie natury ? Powrót do korzeni .
1381	To jest wysokiej jakości ... sztuka mięsa , jakiej nie znajdziesz w dziczy .
1382	Nie martwi was to , że nie wiecie nic ... o życiu poza ZOO ?
1383	A ja nawet nie wiem , czy jestem czarny w białe pasy , czy biały w czarne pasy .
1384	-Start spreading the news , -Nie przyznaję się do ciebie . I 'm leaving today .
1385	Jak wiesz , nabawiłem się zapalenia pęcherza , i muszę wstawać co 2 godziny .
1386	Wstałem na siusiu , i ... zajrzałem na wybieg Marty'ego ... zazwyczaj tego nie robię ale tym razem ...
1387	Zabierzemy naszego przyjaciela do domu ... Udajmy , że to nie miało miejsca .
1388	Wczorajsze zajścia na Dworcu Centralnym potwierdzają to , co obrońcy przyrody powtarzają od lat :
1389	Dlatego zostaną one przywrócone do ich naturalnego środowiska , gdzie będą mogły żyć swobodnie , tak jak pragną .
1390	Sam wpadłeś na ten pomysł ... Alex , nie mieszaj w to Melmana .
1391	Żebym nie musiała wam obu spuścić lania ! Ja myślałem , że znam ciebie .
1392	A tak przy okazji , twoje białe i czarne pasy są bez sensu .
1393	Teraz muszę rywalizować z Orką Shamu , i tym jej cwanym uśmieszkiem .
1394	I like to move it , move it I like to move it , move it
1395	I like to move it , move it You like to move it , move it
1396	Siedzieliśmy na plaży całe wieki i pies z kulawą nogą się nie zainteresował .
1397	Nie żebym się czepiał , ale gdzie tu jest administracja ? -Pójdziemy i ...
1398	Nękają nas , naruszają granicę i psują imprezy , -oraz wyrywają nam członki .
1399	Czekaj no chwilkę , futrzasty kłębuszku , masz na myśli mieszkanie w ziemiance i podcieranie się liściem ?
1400	Ja , Melman Merkowitz , będąc zdrowy na umyśle , choć chory na ciele , rozdzielam mój majątek równo pomiędzy was troje .
1401	To jest ciemna strona , gdzie możesz sobie skakać jak źrebak , i robić co tylko chcesz całymi dniami .
1402	A to jest jasna strona , dla tych , którzy kochają Nowy Jork i chcą wrócić do domu .
1403	Żadna łódź ratunkowa w promieniu miliona mil nie przeoczy tej ślicznotki .
1404	We właściwym momencie zapalimy płomień wolności , i zostaniemy uratowani od tego koszmaru .
1405	-Mnie też , mnie też . Podobali mi się nawet zanim ich poznałem . -Tak , tak .
1406	Zatrzymamy ich u nas , a pod opieką Pana Aleksa , nic nam nie zagrozi .
1407	Kiedy Nowojorskie Olbrzymy się obudzą , mają myśleć , że trafili do raju .
1408	Tak myślałem , może gdybyś dał temu miejscu szansę , to by ci się tu spodobało ?
1409	Wiesz co Alex , obiecuję że jutro będziesz miał swój kotlet , żebym sczezł .
1410	Ho , ho , nie ma powodu do niepokoju , Olbrzymie Świry , podczas snu zabraliśmy was po prostu do tego niebiańskiego zakątka .
1411	Widzisz Morris ? Alex jest naszym przyjacielem , a po Foosa ani śladu .
1412	Jaki z niego król ? Nawet nie ma korony . Ja mam koronę .
1413	Daj spokój Morris , co znaczy jeden gryz w pośladki między przyjaciółmi ?
1414	Jesteśmy twardzi , pazerni , elastyczni , i nie damy się zwariować jak jakaś zgraja Melmanów .
1415	Igra z życiem . Chłopaki nasz czarno-biały przyjaciel jest w tarapatach , to robota dla nas .
1416	Bo długich i dogłębnych namysłach , postanowiłem złożyć ci dzięki za zaprowadzenie pokoju .
1417	See you later , krokodylu . Morris , ręka mi zdrętwiała , machaj za mnie .
1418	Refundowane leki , aa ? Ja mógłbym wpadać nawet tu , od czasu do czasu .
1419	Więc , mówisz mi że ... weźmiesz moje 100 tys. w gotówce ... zrób mały przekręt z udziałami ...
1420	Jak Korona Offshore dowie się że manipulowaliśmy ich akcjami ... to będzie po nas .
1421	Twoi konkurenci się wściekną kiedy dowiedzą się ... ile pieniędzy na tym zrobiłeś .
1422	Ty jesteś 3 tys. do tyłu , ale uważasz że to dobra inwestycja .
1423	Ponieważ te 3 tys. ma mnie przekonać , żebym dał ci więcej .
1424	jak pokonałeś prawdopodobieństwo 14mln do jednego ... to zasługujesz na te pieniądze .
1425	Dlaczego nie wziął tych 3 kawałków i nie pozwolił ci odejść ?
1426	Ma obsesje , zawsze być krok do przodu , zbiera papiery na konkurentów .
1427	Gdy ktoś zrozumie że został okantowany , dostaje obsesji na tym punkcie .
1428	Jeśli wie już tyle , żeby rozpoznać takiego kanciarza jak Harry , ... tak jak to zrobił .
1429	Myślałem , że pierwsza zasada to Nie da się oszukać uczciwego człowieka .
1430	I jeśli cel zna naszą grę to nie mamy pola manewru .
1431	Ale kanciarz artysta , bierze pieniądze ... a ten nawet nie wie że został nabrany .
1432	Jak się uda , to ja wygrywam a jak nie to ty .
1433	- Myślisz , że najważniejsze jest ... trzymać go z dala od policji ?
1434	Większość ofiar nie zgłasza oszustwa ... bo myślą że popełnili przestępstwo ... albo lepiej w ogóle nie wiedzą że zostali okantowani .
1435	Pewnie myślisz jak go ośmieszyć ... tak żeby nie poszedł na policję ?
1436	Cokolwiek zrobimy musi być tak bezczelne ... żeby nawet , jeśli się dowie że to kant , nie pójdzie na policję ... bo wyjdzie durnia .
1437	Pamiętacie , jak powiedział że Jennings był wściekły ... jak konkurencja znalazła złote monety .
1438	-i ... sprzedamy mu kawałek ziemi ... ale tak żeby myślał że jest coś pod spodem .
1439	Eksponaty ze złota datowane na Epokę Brązu znaleziono ... kiedy przedłużano linia metra Jubilee do East End .
1440	I sugerowano , że ówcześni mieszkańcy ... tego , co stało się potem Londynem ... mieli obfity zapas
1441	Są bardziej prawdopodobne miejsca w Mendips albo Wales , ale skoro ... autostradę zbudowano 5tys.lat potem , to możliwe że wydobywano je tutaj
1442	że im bardziej bezczelne to będzie ... tym mniej będzie się tego spodziewał .
1443	Wyślemy starego chłopa na urlop do Bognor Regis ... więc zniknie na dwa tygodnie .
1444	Gdyby ten plan miał więcej dziur , mógłbyś zaparzyć w nim herbatę .
1445	Wiem , i bez urazy Albert , ale nie możemy tego robić wg . książki .
1446	Zimny odczyt , dowiedz się o nim , czego się da ... zanim zaczniesz rozmowę .
1447	Przekonaj go że jesteś taki jak on , jak dwa ziarnka grochu ... że możesz być jego przyjacielem .
1448	Możesz przyjść na górę ... i na trochę pomóc , jeśli chcesz .
1449	Dobrze , to jest piętro zarządu , mniej więcej ... i jego biuro jest tutaj .
1450	Nie ma kawałka ziemi w Londynie , o którym nie wiem i nie złozyłem pierwszy oferty .
1451	To wydaje się trochę dziwne , że jest gdzieś złoto , pod ziemią w Londynie .
1452	Mamy profesora geologii tutaj w muzeum ... który pisze pracę o tym .
1453	W tym przypadku , I jestem pewna , że chętnie z panem porozmawia .
1454	To co jest tutaj to mniej niż 1 % złota pod ziemią .
1455	Ale oczywiście , to miejsce jest prawie na pewno zabudowane ... więc pewnie nigdy się nie dowiemy ?
1456	O tak , na pewnych wysokościach ... to się dzieje od tysięcy lat .
1457	I jak można dowiedzieć się , czy dany kawałek ziemi zawiera pokłady złota ?
1458	Więc mógłbym przynieść panu próbkę ... i mógłby pan powiedzieć czy pod ziemią jest złoto ?
1459	Tylko kłopot w tym że nie jestem pewny czy się do tego nadajesz .
1460	Wszystko , co wiem , to że zostaliśmy wynajęci by kupić działkę ... bez względu na cenę .
1461	Dajemy dwa razy więcej niż jest warte w gotówce , ale jeszcze nie podpisał .
1462	Ale , jak będę miał z tego działkę , to wiesz ... może zacznę się zastanawiać .
1463	Jest długa droga między wykręceniem numeru ... a wyjściem z niego czysto .
1464	Czy pozwolisz mu przegrać żeby miał nauczkę , a ty wygrasz zakład ?
1465	Według mnie było tu podziemne źródło ... wynoszące cząstki złota , ku powierzchni .
1466	Rzecz w tym Paul ... że podejrzewam że to może być część jakiegoś złożonego przekrętu .
1467	Tak więc interes z walizką pełną gotówki ... i ludźmi których znam mniej niż tydzień ...
1468	I , jeśli oni nie znajdą niczego ... pięć minut po tym , jak mnie zapewniłeś że tu jest złoto ...
1469	To powiedz mi którędy będziesz uciekał ... żebyśmy na siebie nie powpadali .
1470	Pan Nash , mam dla pana nową ofertę Myślę , że powinien pan ją rozważyć .
1471	-Tak , I chcę list podpisany przez ciebie ... przepraszający za nie docenianie mnie i stwierdzając ... że jestem lepszym grifterem .
1472	- Nie , mój argument że jeśli się udało ... to powinieneś zapłacić .
1473	Możesz to dla mnie zrobić ? Po prostu wsadź je wszystkie do auta .
1474	Czekam na litografię z Włoch ... wszystkie przyjażdżaję dziś po południu w identycznych nieoznakowanych skrzyniach
1475	Tak , Panie Hyotona , musi Pan poczekać Dzwoni mój dealer z Madrytu .
1476	Jestem pewien , że istnieje bardzo poważny powód , dlaczego nie ma go z panem .
1477	Może Pan poczekać chwileczkę , panie Jensen , mój asystent właśnie się pojawił .
1478	I to mnóstwo . Chcę mu je dać , aby mógł wyjść na ludzi tak jak ja .
1479	Jeśli mógłbym mu dać pieniądze ... przynajmniej czułbym , że coś dla niego zrobiłem .
1480	Przez lata wykręcał numery ... a umarł trzymając płyn do usuwania kamienia w ręku .
1481	Te stare artykuły mówią , że był bezwzględnym bandytą ... trudniącym się wymuszeniami .
1482	Jedna z teorii mówi , że obrobił swoich stary kumpli z kasy .
1483	Ksiądz wykonał jeden telefon i odnalazł mego syna tak po prostu ?
1484	Został nielegalnie sprzedany bezdzietnej parze ... która zmieniła zdanie i porzuciła go .
1485	Powinien zostać zidentyfikowany jako pański syn , ale niestety tak się nie stało .
1486	Ale kiedy ojciec O'Brian do nas zadzwonił ... wtedy James się dowiedział .
1487	Mam nadzieję , że rolę , które tu odegraliście ... dadzą wam ogląd na środowisko w którym będziecie pracować .
1488	Będziemy w kontakcie z dwoma szczęśliwcami , których wybierzemy do dalszego etapu .
1489	Proszę mi załatwić trzy krzesła i wewnętrzny telefon ... i kawę , trzy łyżeczki cukru , jeśli można .
1490	Nic z tego nie wyjdzie jak będzie Pan tu czekał i dreptał .
1491	Najważniejszą rzeczą ... jest aby na tym etapie , nie przejmować się lękami i wątpliwościami trzeba być cierpliwym .
1492	Na razie jestem tylko szefem baru szybkiej obsługi ale pracowałem też w lepszych lokalach .
1493	Proszę pana , krzyczenie na recepcjonistę nie zmieni faktu , iż możliwość lunchu w niedzielę będzie możliwa dopiero za 4 tygodnie .
1494	Chociaż zawsze trzymamy parę stolików wolnych , jakby jakaś gwiazda zjawiła się niespodziewanie .
1495	Bo jeśli nie , to znając Johna niech Bóg nad nim czuwa .
1496	Nie ważne ile zapłacisz za Chateaubriand ... to i tak ciągle śmierdzi .
1497	Mówię Wam , że jeśli by mógł oddałby mi już dziś cały swój majątek .
1498	Dostałem cynk , że je dzisiaj w `` K 's '' , a zdjęcia zawsze wychodzą lepiej ... jeśli będzie tam mały tłum ludzi .
1499	Dlaczego myślisz , że Pan Timberlake zdecydował się nie jeść na West End ?
1500	Co więcej poczekamy tutaj , razem z tym wrzeszczącym tłumem ... i będziesz mógł wszystko wyjaśnić Justinowi i jego ludziom jak tylko przyjadą .
1501	- Mamy zdjęcia w kuchni ... aby obsługa mogła wychwycić krytyków kulinarnych .
1502	Ta zupa oraz the Neuf-du-Pape ... jest o dwa stopnie za zimna .
1503	Sposób w jaki Mickey rozmawia z Dannym przypomina mi moje rozmowy z Mickey'im .
1504	Nadchodzi taki czas w twojm życiu kiedy zdajesz sobie sprawę , że młodzi nie mogą się już niczego od ciebie nauczyć ,
1505	Nie mogę odzyskać tych 32 lat , ale mogę ci pomóc teraz .
1506	Jest tutaj dużo światła , ale myślę , że zapłacicie dodatkowo za prąd .
1507	Sprzedażą w Europie zajmiemy się sami ... prawa do kablówek i DVD odsprzedamy .
1508	Początek zdjęć tutaj o 11:00 , 14-tego , i ... gra pan w filmie , Panie Eaves .
1509	Damy panu bilety na premierę ... i wszyscy pańscy koledzy będą mogli przyjść i zobaczyć pana na dużym ekranie ... jako jednego z upiorów .
1510	W zamian zrzeknie się pan czynszu jeśli film nie przyniesie zysku .
1511	W ten sposób chcemy się odwdzięczyć Chrisowi za to co zrobił .
1512	Daj spokój Johny . Przecież wiesz że nie wolno zaglądać kucharzowi w garnki .
1513	Nigdy nie jest tak szczęśliwy , jak wtedy gdy bawi się w kuchni .
1514	Masz marzenia i mówisz jak ja , masz też dumę ... i umiesz wciskać kit .
1515	Chętnie dałbym ci forsę , ale jej nie przyjmiesz ... bo masz zasady i dumę .
1516	Gdy wytropiłem tych ludzi ... których uważałem za swoich rodziców ... nawet nie wpuścili mnie do domu .
1517	Zapłacili za mnie porywaczom , ale zorientowali się , że jestem twoim synem .
1518	Ci łajdacy , których uważałeś za swoich rodziców kupili ją jako inwestycję .
1519	To znaczy , że muszę się nauczyć gotować ... czyli znowu będę musiał zasuwać .
1520	Ty i Paula zasługujecie na nagrodę Muszę ci coś podarować ... za to , że mnie przy tobie nie było .
1521	Wiem , że to łobuz i kłamca ... ale ja też go oszukałem .
1522	To dość ostro . - Wiecie co , założę się , że to 20 .
1523	Jeśli Eddie mówi , że to 20 , to musi to być 20 .
1524	Mówię ci stary , nie było wcześniej ani później takiego jak ja .
1525	- No tak , byłeś aż tak dobry ? - Byłem lepszy niż dobry .
1526	Nie musisz mi o tym mówić , ciułałem z dnia na dzień przez lata ...
1527	Słuchaj moglibyśmy stworzyć zespół , ja i ty ... no wiesz , połączyć siły .
1528	Tak , złamałem zęba na jednym z jej hamburgerów w zeszłym tygodniu .
1529	Opuścił wojsko i został politykiem ... następnie poleciał do Szwajcarii ... w ślad za pomówieniem o defraudację i oszustwo .
1530	Ma dwie główne pasje w życiu ... swoje stajnie w Newmarket ... i kolekcję starych banknotów .
1531	Legenda , zapamiętaj , to jest wielki Mickey Bricks ... nadzwyczajny kanciarz , z czołówki ...
1532	Rozchmurz się , dobra ? Nie jest jakimś głupkiem , którego znalazłem na ulicy .
1533	Proszę nie rób żebym źle wyglądał ... bo będę się później źle z tym czuł .
1534	Każdy z nas nadstawia głowę , a ja osobiście , lubię znać ludzi z którymi współpracuję .
1535	Możesz mi wyjaśnić na jakiej zasadzie , przekroczyliśmy stan konta o 4 funty ... a ty obciążasz mnie sumą 85 funtów , żeby mi o tym powiedzieć ?
1536	Dla mnie to tak jakbym był na zewnątrz i zaglądał do środka .
1537	A jeśli nie , to .... chyba chcę przez to powiedzieć , że jeśli nie jest , to odchodzę .
1538	Nie miałem na myśli tego , co powiedziałem i przepraszam , że beknąłem ci w twarz .
1539	To banknot zdawkowy o nominale 1,000 dolarów , wydany w 1866 roku .
1540	Jeden posiada Chicago Confederate Bank ... za który zapłacił 200,000 dolarów , dziewięć lat temu .
1541	I zakładam , że Mgube zaoferował jego kupno , ale został odprawiony z kwitkiem ?
1542	Wie , że drugi banknot należy do prywatnego kolekcjonera ... po prostu nie był wstanie go zlokalizować .
1543	Nawet gdyby ją znalazł , dała jasno do zrozumienia , że nigdy go nie sprzeda .
1544	Dobra , więc mamy milionera , który `` coś '' chce , a my wiemy gdzie to `` coś '' jest . - Co teraz ?
1545	To nic poważnego , pani Foster , chcemy po prostu uaktualnić kwotę przypadającą nam do zapłaty ... na paru przedmiotach o większej wartości , które ubezpieczamy .
1546	Nie , to raczej sprawa upewnienia się ... że parę przedmiotów jest w tym samym stanie ... jak wtedy gdy ubezpiecznie zostało wykupione .
1547	I wtedy pomyślałem sobie ... kto z osób , które znam mógłby rozwiązać taki problem ?
1548	Sądzę , że będziemy musieli zrobić parę zdjęć ... tylko , aby ualktualnić nasze dane , jeśli to nie problem ?
1549	Ale wpłaciłam już pieniądze na konto , więc ... moglibyście zdjąć obciążenie konta ?
1550	Nie zwymyślam pana , staram się tylko wskazać ... że jest pan małym , aroganckim człowiekiem z mózgiem wielkości orzeszka .
1551	Niech pani zrozumie , co by nie było , pani Reeves , mamy tu bardzo prosty układ .
1552	Jeśli ma pani pieniądze na swoim koncie , może je pani wypłacić .
1553	Mamy kontakt w firmie limuzynowej , której używa ... więc wiemy , że ma w planie spotkać się w Strand z handlarzami banknotów , dziś po południu .
1554	Tak , więc , ja będę grać pierwsze skrzypce , a on będzie mnie tylko wspierał .
1555	Chcę powiedzieć , że nie siedziałbym tutaj , czyż nie , gdyby ktoś mnie nie nauczył ?
1556	Nie , jeszcze nie , ale młoda panna o tam , wręczyła mi te formularze do wypełnienia .
1557	Jak tylko wniosek zostanie rozpatrzony pozytywnie , będziemy w stanie dać panu numer konta ... by mógł pan dokonać transakcji .
1558	- Tak , firma , którą reprezentuję ... nabyła niedaleko stąd kawałek ziemi pod rozbudowę .
1559	Potrzebujemy rachunek rozliczeniowy , by zapłacić za rzeczy związane z budową , tego typu sprawy .
1560	Cóż , zakładam , że filia takich rozmiarów poradzi sobie z taką ilością pieniędzy ?
1561	Zawsze wierzyłem , że posiadanie silnego związku ... z filią , z którą robisz interesy sprawia , że życie staje się o wiele prostsze .
1562	Więc , reszta zapewniona , panie Wyngate ... bank i ja będziemy do pańskiej całkowitej dyspozycji .
1563	Tak , istnieje gang piorący pieniądze , wywożacy pieniądze z kraju ... inwestując je w rzadkie monety i banknoty .
1564	Tylko udawać , że nas tu nie ma , a jeśli ktoś będzie pytał ... to jesteśmy z personelu .
1565	Ale w żadnym razie nie mogę mieć obcych włóczących się po sklepie .
1566	No cóż , jeśli postanawia pan nie pomagać w naszym śledztwie ... my będziemy musieli się dowiedzieć : dlaczego ?
1567	Tak , znalazłem banknoty o które pan prosił ... przefaksuje panu informację , dziś po południu .
1568	Chciałbym żebyś zabrał go do mojego apartamentu ... osobiście , w jedną godzinę .
1569	Stacie i ja chcielibyśmy byś zmienił to we właściwe plany budynku .
1570	Bardzo chętnie bym ci powiedział , ale bardziej cenię sobie moje życie , drogi chłopcze .
1571	Proponuj mu pieniądze tak długo , aż zgodzi się podpisać do jutra .
1572	Jeśli to nie poskutkuje ... to powiedz mu , że pytałem o jego żonę i dzieci .
1573	- Jeśli on może okraść nas na 85 funtów ... to ile zabiera on ludziom , którzy nie mogą sobie na tyle pozwolić ?
1574	Możliwe , ale ... czy wysyłanie Alberta nie przypomina trochę użycia młota oburęcznego do rozłupania orzecha ?
1575	Ponieważ ona zje cię na śniadanie ... wypluje kości , będzie niezły syf .
1576	I dostałem więcej plaskaczy niż jest kostek u nóg tancerek Morrisa .
1577	Nieporównywalne do 85 funtów ... które on i jego malutki bank nam ukradli ?
1578	To wszystko sztuczki i rzeczy , z którymi nie mogę sobie poradzić .
1579	Dokładnie , słuchaj , nie mam nic przeciwko przyłączaniu się , ale ty masz Danny'ego ... z tą jego całą karcianą znajdź-damę , której nie mogę nigdy znaleźć .
1580	Więc od tej chwili , płacicie za swoje drinki jak normalni ludzie ... albo przynajmniej dajcie mi równe szanse .
1581	To nie dlatego , że jesteście ode mnie sprytniejsi , ale dlatego , że oszukujecie .
1582	Dobra . Teraz obaj licytujemy się o nie , a ten który poda największą ofertę , zabiera je .
1583	Ray powiedział , że przejdzie wizualnie , ale nie jeśli przeprowadzą testy chemiczne .
1584	Czekaj , jeśli dałem ci Ł60 a ty położyłeś tylko Ł50 na ... to muszę być dziesiątaka do tyłu .
1585	Najważniejszą sprawą jest to byśmy wyglądali na lekko nerwowych ... jakbyśmy wiedzieli , że nie powinniśmy tam być .
1586	Sprawmy by myślał , że robi swoje bez oglądania się na innych .
1587	Dawniej myślałem , że to z powodu iż razem pracujemy , a potem zacząłem myśleć ... może ...
1588	Tak , ale kochanie nas obu ... to jedna z tych dziewczęcych rzeczy , prawda ... kiedy nie chcecie kogoś przelecieć ... ale jednocześnie nie chcecie zranić ich uczuć ... więc udajecie , że jesteście tylko dobrymi przyjaciółkami i nie chcecie tego popsuć .
1589	Nie , niech pan posłucha . Umowa jest wciąż aktualna , po prostu stchórzył , to wszystko .
1590	Powód dla którego tu jestem , to wypłacenie pani małej części pieniędzy .
1591	Proszę posłuchać ... pamięta pani , że przyszliśmy tutaj , by zrobić trochę zdjęć banknotu ?
1592	To coś w rodzaju zaliczki , by poczuła się pani trochę lepiej .
1593	Nie za bardzo rozumiem spraw związanych z bankami , pieniędzmi i ubezpieczeniami .
1594	Nasz ulubiony kierownik banku ... musiał kupić jego bezwartościową przyczepę kempingową ... i jeszcze bardziej bezwartościową ziemię za ... 150.000 funtów w gotówce .
1595	Tak , chcę się dowiedzieć kto wygrał koncesję na parking dla samochodów ... dla nowej rozbudowy na Portway Estate ?
1596	Najważniejszą sprawą jest to byśmy wyglądali na lekko nerwowych ... jakbyśmy wiedzieli , że nie powinniśmy tam być .
1597	Zgaduję , że to co tu trzymam to najprawdopodobniej ostatnia rzecz ... jaką pani mąż zamówił , zanim zmarł .
1598	Proszę posłuchać , niech się pani nie martwi , zabiorę ją ze sobą .
1599	Powiem ci coś , już nigdy więcej cię nie naciągnie i jesteś naszym gościem honorowym .
1600	Będziesz na nogach całą noc ... bo będziesz tańczyć ze swoim ulubionym wnukiem .
1601	Myślisz , że jak długo zajmię mi wypicie trzech dużych drinków brandy ?
1602	Więc nie powinieneś im pozwalać , by uprawiali w twoim barze hazard , prawda ?
1603	Jest taka grupa , która przychodzi się tu napić . Zajmują się większymi przekrętami .
1604	Black Storm był jednym z oryginalnych superbohaterów , a to ... jest Mona Lisa projektów graficznych do komiksów .
1605	Ale cały urok polega na tym , że nasz gość może opóźnić ruch waluty ... wystarczająco długo byśmy mogli zawrzeć spread bet . ( przypis * )
1606	Macie prawo zachować milczenie , ale ... muszę was ostrzec , że wszystko co zataicie w czasie przesłuchania ... a nastęnie wyjawicie w sądzie może zaszkodzić waszej obronie .
1607	Wy dwaj możecie iść do więzienia albo mogę stąd wyjść ... z pieniędzmi i zapomnimy o całej sprawie .
1608	Sądze , że dokładnie to właśnie zrobicie ... chyba , że Mickey ma ochotę na kolejną odsiadkę .
1609	Zróbcie coś głupiego , on będzie zeznawać , a wy dwaj pójdziecie do więzienia .
1610	Macie pięć sekund by mi powiedzieć , co to za przekręt albo to podpalę .
1611	A teraz powiecie mi wszystko ... albo następnym razem nie będzie to podstawka pod piwo .
1612	Potrzebowaliśmy prawdziwego egzemplarza , ponieważ dom aukcyjny lubi sprawdzać auntentyczność ... ilustracji zanim ją sprzeda .
1613	Dwaj kolekcjonerzy , których oferty przebiliśmy na ostatniej aukcji nie będą chcieli znów przegrać .
1614	Nie ma pana cały dzień . Gaz zaczyna wyciekać z niesprawnego urządzenia .
1615	Kolejną rzeczą jaką widzisz : to jak zdrapują twój mózg z chodnika .
1616	Dobra , potrzebuje , by odkręcił pan gorącą wodę w łazience , w czasie gdy będę go sprawdzać .
1617	Mój mały bratanek , ma bzika na jego punkcie , podobnie jak ja .
1618	Jaki jest pański punkt widzenia na założenie ... że Lichtenstein kpi z obiektów , na swoich obrazach ?
1619	Obrazy Lichtensteina do komiksów ukazują dorosłego mężczyznę znajdującego ... sens w złomie , który wydawało się , że wyrzucił .
1620	A to niezłe , słyszeć to z ust takiego pasożyta jak ty .
1621	To samo skupienie na jednej myśli , które znajdujesz później w pracach Warhola .
1622	Jeśli dom aukcyjny zauważy różnicę , Mickey może wziąć z powrotem swoje 15.000 funtów .
1623	Jeszcze jeden taki numer i będziecie się martwić ... czym innym niż to , czy coś jest debeściakiem .
1624	Spreparuje taśmy tak , że będą dalej się odtwarzać , ale po prostu niczego nie nagrają .
1625	W czasie gdy Mickey odwróci uwagę wszystkich ... przyciskasz drugą stronę walizki do oryginału ... zaczepiasz o walizkę , obracasz walizkę na drugą stronę ... podróba zostaje i zmykasz .
1626	Więc Mickey , może powinieneś sobie znaleźć miłą dziewczynę i to wszystko się zmieni .
1627	Tak , zabiorę też wasze telefony ... na wypadek gdybyście chcieli umówić się na jakieś spotkanie , za moimi plecami .
1628	Jeśli moja babcia zadzwoni ... powiedz jej tylko , że wpadnę do niej jutro .
1629	Czy naprawdę musimy się bawić w to całe dzwonienie do domu aukcyjnego ... was powstrzymujących mnie w ostatniej chwili ?
